GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG
Shot Chart Detail,0021500070,488,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,1,28,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,17,26,1,0
Shot Chart Detail,0021500070,492,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,0,58,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-4,178,1,1
Shot Chart Detail,0021500097,570,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,3,11,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,1,175,1,1
Shot Chart Detail,0021500097,578,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,1,59,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,92,28,1,1
Shot Chart Detail,0021500223,457,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,4,21,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,12,259,1,0
Shot Chart Detail,0021500234,520,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,3,8,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-38,244,1,0
Shot Chart Detail,0021500234,535,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,1,8,Missed Shot,Floating Jump shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-1,38,1,0
Shot Chart Detail,0021500256,549,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,0,46,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,12,1,0
Shot Chart Detail,0021500256,562,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,0,23,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-17,-1,1,1
Shot Chart Detail,0021500256,587,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,0,8,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,2,1,1
Shot Chart Detail,0021500277,496,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,2,19,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-119,164,1,0
Shot Chart Detail,0021500277,506,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,1,32,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,184,183,1,1
Shot Chart Detail,0021500277,514,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,0,47,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,25,249,1,0
Shot Chart Detail,0021500277,521,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,0,8,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,153,208,1,0
Shot Chart Detail,0021500303,552,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,1,30,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,197,169,1,0
Shot Chart Detail,0021500303,560,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,1,18,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,101,41,1,1
Shot Chart Detail,0021500303,579,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,0,23,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,109,159,1,1
Shot Chart Detail,0021500331,454,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,4,53,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-52,244,1,1
Shot Chart Detail,0021500331,469,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,3,41,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,91,65,1,1
Shot Chart Detail,0021500331,486,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,1,40,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
Shot Chart Detail,0021500341,426,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,4,19,Made Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,35,180,1,1
Shot Chart Detail,0021500341,430,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,3,29,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,138,105,1,1
Shot Chart Detail,0021500341,438,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,2,53,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,32,183,1,0
Shot Chart Detail,0021500341,448,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,1,47,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,51,165,1,0
Shot Chart Detail,0021500341,458,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,1,6,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,23,12,239,1,1
Shot Chart Detail,0021500341,468,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,0,11,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-60,144,1,1
Shot Chart Detail,0021500356,484,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,3,32,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
Shot Chart Detail,0021500356,494,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,2,48,Made Shot,Pullup Bank shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,89,36,1,1
Shot Chart Detail,0021500356,513,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,0,26,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,24,13,1,0
Shot Chart Detail,0021500356,521,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,0,14,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
Shot Chart Detail,0021500356,526,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,0,0,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,21,218,11,1,0
Shot Chart Detail,0021500356,547,201142,Kevin Durant,1610612760,Oklahoma City Thunder,5,2,32,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,123,80,1,1
Shot Chart Detail,0021500384,501,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,3,43,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,40,244,1,0
Shot Chart Detail,0021500384,506,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,3,13,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,141,106,1,0
Shot Chart Detail,0021500384,547,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,0,8,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-122,228,1,0
Shot Chart Detail,0021500418,459,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,4,4,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,45,92,1,1
Shot Chart Detail,0021500418,468,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,2,28,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,7,1,0
Shot Chart Detail,0021500418,479,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,1,52,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,51,242,1,0
Shot Chart Detail,0021500418,511,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,0,5,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,119,146,1,1
Shot Chart Detail,0021500437,527,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,3,2,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,132,205,1,0
Shot Chart Detail,0021500437,542,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,1,54,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,114,223,1,0
Shot Chart Detail,0021500456,463,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,3,50,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,1,110,1,0
Shot Chart Detail,0021500456,468,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,3,14,Made Shot,Driving Bank shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,37,2,1,1
Shot Chart Detail,0021500456,474,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,2,44,Made Shot,Driving Bank shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,50,21,1,1
Shot Chart Detail,0021500472,535,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,4,24,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,43,200,1,0
Shot Chart Detail,0021500472,551,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,2,57,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,101,3,1,1
Shot Chart Detail,0021500472,573,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,1,30,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-137,131,1,0
Shot Chart Detail,0021500488,436,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,4,3,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,130,129,1,0
Shot Chart Detail,0021500488,445,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,3,19,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,9,129,1,0
Shot Chart Detail,0021500488,464,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,1,17,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,30,131,1,1
Shot Chart Detail,0021500488,468,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,0,35,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-65,237,1,0
Shot Chart Detail,0021500488,470,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,0,31,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
Shot Chart Detail,0021500534,521,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,3,54,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,141,219,1,0
Shot Chart Detail,0021500549,467,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,3,57,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,101,16,1,1
Shot Chart Detail,0021500564,506,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,3,54,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-120,144,1,0
Shot Chart Detail,0021500564,508,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,3,46,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-120,169,1,0
Shot Chart Detail,0021500574,433,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,4,53,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,23,176,159,1,0
Shot Chart Detail,0021500574,440,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,4,35,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,81,154,1,0
Shot Chart Detail,0021500574,445,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,3,45,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,82,232,1,0
Shot Chart Detail,0021500574,460,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,2,54,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,60,190,1,1
Shot Chart Detail,0021500574,469,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,1,44,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,-101,190,1,1
Shot Chart Detail,0021500574,476,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,1,15,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,86,141,1,1
Shot Chart Detail,0021500574,485,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,0,23,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,145,129,1,1
Shot Chart Detail,0021500627,538,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,4,35,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-4,252,1,0
Shot Chart Detail,0021500627,557,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,3,34,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,137,214,1,1
Shot Chart Detail,0021500627,603,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,1,4,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,-17,149,1,0
Shot Chart Detail,0021500627,607,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,0,29,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,24,11,1,0
Shot Chart Detail,0021500651,465,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,4,8,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,181,174,1,0
Shot Chart Detail,0021500651,499,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,1,44,Missed Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,0
Shot Chart Detail,0021500651,511,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,0,54,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-74,170,1,1
Shot Chart Detail,0021500664,461,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,4,36,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,96,237,1,0
Shot Chart Detail,0021500664,470,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,3,8,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,2,1,1
Shot Chart Detail,0021500664,487,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,2,15,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-58,237,1,0
Shot Chart Detail,0021500664,498,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,1,37,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,7,1,0
Shot Chart Detail,0021500679,469,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,4,41,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,61,144,1,0
Shot Chart Detail,0021500679,493,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,2,59,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
Shot Chart Detail,0021500679,495,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,2,16,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,23,43,234,1,1
Shot Chart Detail,0021500679,500,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,1,36,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,133,116,1,0
Shot Chart Detail,0021500679,511,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,0,51,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,16,1,0
Shot Chart Detail,0021500679,519,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,0,16,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,127,31,1,1
Shot Chart Detail,0021500679,538,201142,Kevin Durant,1610612760,Oklahoma City Thunder,5,4,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-191,160,1,0
Shot Chart Detail,0021500679,547,201142,Kevin Durant,1610612760,Oklahoma City Thunder,5,3,42,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,10,46,1,1
Shot Chart Detail,0021500679,561,201142,Kevin Durant,1610612760,Oklahoma City Thunder,5,2,45,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-29,61,1,0
Shot Chart Detail,0021500679,574,201142,Kevin Durant,1610612760,Oklahoma City Thunder,5,1,30,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,187,154,1,0
Shot Chart Detail,0021500688,481,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,4,28,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,14,160,1,1
Shot Chart Detail,0021500688,507,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,1,45,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,112,229,1,1
Shot Chart Detail,0021500688,509,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,1,26,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,15,124,1,1
Shot Chart Detail,0021500688,520,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,0,31,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,127,90,1,0
Shot Chart Detail,0021500701,597,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,3,26,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-4,254,1,1
Shot Chart Detail,0021500725,463,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,3,27,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,117,218,1,0
Shot Chart Detail,0021500725,475,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,2,25,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,192,165,1,0
Shot Chart Detail,0021500725,481,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,1,46,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-11,242,1,0
Shot Chart Detail,0021500740,494,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,3,46,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-6,257,1,0
Shot Chart Detail,0021500740,504,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,2,46,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,69,232,1,1
Shot Chart Detail,0021500740,509,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,2,12,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-133,87,1,0
Shot Chart Detail,0021500740,531,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,0,0,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-150,229,1,1
Shot Chart Detail,0021500769,490,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,4,54,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,42,244,1,1
Shot Chart Detail,0021500769,526,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,2,48,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,28,86,272,1,0
Shot Chart Detail,0021500769,529,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,1,59,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-1,254,1,0
Shot Chart Detail,0021500769,550,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,0,22,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-7,115,1,0
Shot Chart Detail,0021500783,547,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,3,6,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,132,249,1,1
Shot Chart Detail,0021500783,566,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,1,30,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,191,183,1,1
Shot Chart Detail,0021500812,482,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,2,47,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,117,101,1,1
Shot Chart Detail,0021500812,505,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,0,38,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-122,219,1,0
Shot Chart Detail,0021500812,518,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,0,5,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,9,242,1,1
Shot Chart Detail,0021500852,560,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,4,11,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,64,267,1,0
Shot Chart Detail,0021500852,567,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,3,45,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,151,218,1,0
Shot Chart Detail,0021500852,574,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,3,2,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,150,198,1,1
Shot Chart Detail,0021500852,576,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,2,45,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,177,218,1,0
Shot Chart Detail,0021500857,517,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,3,45,Made Shot,Driving Bank shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-61,46,1,1
Shot Chart Detail,0021500857,546,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,1,15,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,7,1,1
Shot Chart Detail,0021500857,571,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,0,12,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,38,273,1,1
Shot Chart Detail,0021500874,488,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,2,31,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,120,95,1,0
Shot Chart Detail,0021500874,508,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,0,40,Missed Shot,Alley Oop Layup shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,46,2,1,0
Shot Chart Detail,0021500874,514,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,0,14,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,45,252,1,1
Shot Chart Detail,0021500874,532,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,0,0,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,168,70,1,0
Shot Chart Detail,0021500907,495,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,2,27,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-73,185,1,0
Shot Chart Detail,0021500907,497,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,2,22,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-150,214,1,0
Shot Chart Detail,0021500907,501,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,2,0,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,166,13,1,1
Shot Chart Detail,0021500907,518,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,0,58,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,99,-10,1,0
Shot Chart Detail,0021500013,494,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,3,53,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,2,1,0
Shot Chart Detail,0021500013,521,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,0,54,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-233,26,1,1
Shot Chart Detail,0021500013,526,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,0,22,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,17,139,1,0
Shot Chart Detail,0021500022,530,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,2,59,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,7,1,1
Shot Chart Detail,0021500022,541,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,1,55,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-11,26,1,1
Shot Chart Detail,0021500022,571,201566,Russell Westbrook,1610612760,Oklahoma City Thunder,4,0,17,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,8,1,1
