duration	count
1	1105
60	326
120	323
180	268
240	98
300	428
360	22
420	49
480	21
540	4
600	287
660	1
720	15
780	3
840	0
900	207
960	2
1020	4
1080	7
1140	0
1200	148
1260	0
1320	0
1380	0
1440	0
1500	23
1560	0
1620	0
1680	0
1740	0
1800	93
