duration	Count
1803	1
1815	2
1820	7
1825	1
2100	14
2145	1
2340	1
2400	16
2430	1
2520	1
2580	1
2700	25
2701	2
2730	1
3000	5
3040	1
3600	118
3605	1
3630	3
3900	1
4500	4
5400	3
6300	2
7200	53
7201	9
7202	4
7203	1
7231	1
9000	1
10800	29
10825	1
14400	7
14403	2
16200	1
18000	14
18001	1
21600	3
25200	1
32400	1
54000	6
54001	1
90000	3
126000	1
172800	1
31536000	1
63072001	1
