duration	count
1	456
60	128
120	118
180	109
240	41
300	178
360	12
420	22
480	7
540	2
600	95
660	1
720	6
780	1
840	0
900	83
960	1
1020	2
1080	2
1140	0
1200	57
1260	0
1320	0
1380	0
1440	0
1500	10
1560	0
1620	0
1680	0
1740	0
1800	28
