duration	count
1	649
60	197
120	205
180	159
240	57
300	250
360	10
420	27
480	14
540	2
600	192
660	0
720	9
780	2
840	0
900	124
960	1
1020	2
1080	5
1140	0
1200	91
1260	0
1320	0
1380	0
1440	0
1500	13
1560	0
1620	0
1680	0
1740	0
1800	65
